paper_index,label,index
12187484,1,0
2344352,1,1
14654069,1,2
16443886,2,3
2684155,1,4
15032912,1,5
17988185,3,6
9834350,3,7
16230722,3,8
3542527,2,9
10960717,1,10
15723700,3,11
16118269,1,12
8293860,3,13
17039422,3,14
10492318,2,15
7152132,1,16
8104271,3,17
17764005,3,18
17914032,3,19
12112937,2,20
11756346,3,21
11731221,3,22
10218793,1,23
7567975,2,24
16306557,3,25
9682700,2,26
9356032,3,27
10613759,1,28
16219016,3,29
3089169,1,30
1563583,2,31
12915397,3,32
11980626,3,33
18513423,2,34
15220206,1,35
16732009,3,36
1446803,2,37
12234175,3,38
3905463,2,39
16129698,1,40
17853331,3,41
12679437,3,42
12145233,2,43
14523186,2,44
3867179,2,45
1744436,1,46
15551047,2,47
17563454,3,48
2654294,2,49
12481656,3,50
3771500,2,51
16968575,3,52
3623415,2,53
18599528,3,54
15277417,3,55
17227324,3,56
15522998,3,57
11849625,2,58
8769355,2,59
2629640,2,60
2127812,3,61
2352189,1,62
2394030,2,63
3912242,2,64
11862322,3,65
8019763,1,66
17130504,2,67
7680313,2,68
9529659,2,69
9702155,3,70
3297896,2,71
10438898,2,72
1787825,2,73
10784228,3,74
15713772,2,75
17244711,2,76
16306359,1,77
10372240,3,78
1658938,2,79
18937674,3,80
2035513,3,81
19455302,2,82
15042130,3,83
10097935,2,84
15569141,3,85
19120273,2,86
12759458,2,87
15794660,1,88
17160917,3,89
6642092,1,90
17420320,3,91
15708833,3,92
3885867,2,93
10923631,2,94
10401610,1,95
6798965,1,96
18203848,1,97
3034710,1,98
6090247,2,99
14602757,3,100
8933010,3,101
2405400,1,102
17476472,3,103
2528923,1,104
16767487,3,105
9217892,2,106
6135137,1,107
1600835,3,108
7159398,1,109
12077738,2,110
8183282,2,111
6204895,2,112
15171089,2,113
2252525,2,114
12791496,3,115
16433757,1,116
8739920,2,117
16083707,3,118
15386819,2,119
17547760,3,120
7173496,2,121
15161752,1,122
2110424,2,123
118459,1,124
8692973,1,125
11120869,2,126
1801104,1,127
18619518,1,128
8783761,2,129
10102706,2,130
17697056,3,131
18424628,3,132
16936217,3,133
15860245,3,134
627630,1,135
16978367,3,136
11246891,3,137
2931313,1,138
10189532,3,139
9096260,1,140
12828820,2,141
16883325,3,142
8741812,2,143
17350976,3,144
16219717,2,145
18393965,3,146
2142052,2,147
18823555,2,148
1880897,3,149
15356126,2,150
16936143,3,151
10597756,3,152
12401711,2,153
1314967,2,154
3056764,1,155
12624601,1,156
7796984,2,157
10330298,2,158
19450032,2,159
1770326,3,160
16344402,3,161
12113916,3,162
17472434,3,163
16215165,2,164
12554547,2,165
16567538,2,166
16611666,3,167
4006103,1,168
11850098,3,169
15684340,3,170
9322994,1,171
19030205,1,172
10037770,1,173
1874929,3,174
7622007,3,175
2714046,2,176
18549445,2,177
17959935,2,178
16144950,3,179
2878850,3,180
8728705,3,181
2132407,2,182
12808888,2,183
16922700,3,184
12105351,3,185
11063279,3,186
18769687,3,187
1936600,2,188
8477801,2,189
8432218,2,190
12610002,2,191
17425653,3,192
14640895,1,193
9467130,2,194
18507868,3,195
16804085,3,196
8342628,1,197
12723006,3,198
8299300,2,199
11701997,3,200
17360299,3,201
15476437,3,202
14747298,1,203
10484048,3,204
10926309,3,205
7555506,2,206
10388978,3,207
18454665,3,208
19397050,3,209
11255900,3,210
10972583,3,211
10936499,1,212
2504637,2,213
18854748,3,214
17082240,3,215
1514360,1,216
15708106,3,217
6476882,2,218
1797491,2,219
19956108,2,220
11155142,3,221
11354996,1,222
17319100,3,223
10926840,1,224
2387194,2,225
17188626,2,226
17160672,2,227
389722,2,228
2797087,3,229
1907250,2,230
8031547,3,231
3110074,2,232
3721066,2,233
14633861,3,234
2979618,2,235
15979893,1,236
17693612,3,237
17999777,3,238
3881506,3,239
9453284,2,240
9030834,3,241
9239416,2,242
17683531,3,243
18984778,3,244
1107095,2,245
17077202,3,246
17202329,2,247
12716746,1,248
8680958,2,249
9566924,3,250
11781353,2,251
6219023,1,252
6594040,2,253
14747208,3,254
2123146,1,255
17227319,3,256
19028390,3,257
10565450,2,258
15967162,1,259
18350963,3,260
18396273,2,261
9678138,2,262
15850778,2,263
2458987,1,264
8269793,2,265
12847137,2,266
15533587,3,267
3312938,2,268
11289463,2,269
11744301,1,270
16634838,3,271
15619076,3,272
7900697,3,273
9795770,3,274
9971727,2,275
2642863,2,276
2527705,2,277
14747227,2,278
1707531,2,279
9648820,2,280
3900120,3,281
3123298,2,282
8846420,1,283
9389421,2,284
14693308,2,285
11318844,3,286
15333476,3,287
2561275,1,288
15928031,3,289
9118770,2,290
16508738,2,291
2967143,3,292
17076990,3,293
19015530,2,294
12843147,3,295
3140447,1,296
1313726,1,297
4006655,2,298
11756316,3,299
2981749,3,300
402787,2,301
9417661,2,302
11374395,1,303
17223273,1,304
8290546,1,305
16331117,2,306
15896683,3,307
9300229,2,308
17472435,3,309
10909985,1,310
17277036,3,311
17361126,3,312
16274364,3,313
8638706,2,314
17463246,3,315
2653936,1,316
15963208,3,317
12475085,3,318
18358245,1,319
3514237,2,320
12183306,3,321
12116172,2,322
1402656,1,323
11430819,3,324
4581053,2,325
15126514,3,326
14625406,3,327
15212559,2,328
1482784,3,329
17065358,3,330
9498778,2,331
15793205,3,332
7589881,3,333
15766707,1,334
16318984,2,335
8719804,2,336
1659172,2,337
9429894,2,338
16967284,1,339
3054430,1,340
7955993,3,341
11179513,1,342
1832352,3,343
2840314,1,344
15287927,3,345
18814906,2,346
12020335,3,347
3066604,2,348
11574424,3,349
9833935,2,350
2702918,2,351
8582127,2,352
7726610,2,353
2653745,2,354
9286948,3,355
15117576,2,356
8080489,2,357
18426822,3,358
8518458,2,359
9234029,2,360
18408164,3,361
2820379,1,362
16936202,3,363
12173729,3,364
18291022,3,365
2659600,1,366
16258542,3,367
15189757,3,368
1548146,2,369
16318983,2,370
17587393,3,371
16960101,2,372
2068098,1,373
7615824,3,374
8898771,3,375
9414968,2,376
369928,1,377
11250945,1,378
17130197,3,379
19228402,3,380
19147455,3,381
8784789,3,382
18809631,3,383
2849069,1,384
15023892,1,385
17592553,3,386
2525167,1,387
17645979,2,388
8149657,2,389
9642655,2,390
12941777,1,391
10905487,3,392
10342816,1,393
16784923,3,394
2953379,2,395
11703366,2,396
17130573,2,397
2252528,2,398
2492706,2,399
2731721,2,400
11213597,3,401
3550216,1,402
7869657,3,403
10594551,2,404
7895463,3,405
2370888,3,406
1747611,3,407
8023994,1,408
17532267,1,409
8632993,3,410
15386648,3,411
9519744,3,412
8335172,2,413
7895953,3,414
6589235,2,415
9571575,3,416
1353441,2,417
17149994,3,418
16367882,3,419
3553949,2,420
9068299,2,421
1468294,3,422
3311777,2,423
11042470,3,424
11433226,3,425
15049935,3,426
3887349,2,427
14605243,2,428
10333050,2,429
11827249,3,430
11994455,2,431
6461461,1,432
14704869,3,433
19641379,2,434
1535055,3,435
17470191,3,436
7497873,2,437
11502815,2,438
15853117,3,439
14747303,3,440
12145220,3,441
14581148,2,442
10333942,3,443
9588457,2,444
7256449,2,445
12941720,2,446
9539789,1,447
18852875,2,448
12107747,2,449
10199785,3,450
2060411,3,451
9677951,3,452
12882848,3,453
15616802,2,454
18509209,3,455
1587397,3,456
7505244,2,457
11547223,3,458
2210077,1,459
3930331,1,460
1954812,2,461
18346985,3,462
10616858,3,463
3788976,2,464
10193189,2,465
6376219,3,466
17403126,3,467
2956020,2,468
2185110,2,469
2573589,2,470
7973189,2,471
9097068,2,472
15855571,3,473
12488963,2,474
16174285,3,475
8772732,1,476
18220711,2,477
8933767,1,478
2533036,2,479
11437492,1,480
12830569,3,481
1355747,2,482
7041037,2,483
15827346,1,484
8942395,3,485
11744015,1,486
2712862,2,487
11815491,3,488
2404748,1,489
1959701,1,490
16782722,2,491
17376821,2,492
11117999,2,493
9115575,2,494
15947833,3,495
15735205,3,496
6714534,3,497
3917257,1,498
15505008,3,499
17224062,3,500
14583175,3,501
16123485,2,502
6450721,1,503
18305958,3,504
3604927,2,505
14578254,3,506
8432415,3,507
9112021,3,508
16453382,2,509
3308588,3,510
17476010,2,511
15111514,3,512
7773292,2,513
9669786,2,514
8447318,2,515
15683093,2,516
7016638,2,517
2210071,2,518
12921782,2,519
2917700,1,520
7648786,3,521
16505521,3,522
8911293,2,523
11874937,3,524
15294969,2,525
11699043,3,526
8866570,3,527
9200646,3,528
18563381,2,529
15806321,2,530
18443204,1,531
6381010,2,532
15889234,3,533
14616779,2,534
15720714,2,535
6235285,1,536
6752017,1,537
1499640,3,538
2145620,1,539
1886452,1,540
3283554,3,541
8023930,1,542
1936481,3,543
8415669,2,544
11096141,3,545
8463764,2,546
15920039,2,547
8070610,3,548
7701574,1,549
11310829,3,550
16873777,3,551
11713466,2,552
7847430,2,553
2015712,2,554
1743213,2,555
6103159,1,556
11006768,3,557
12110165,3,558
10430816,3,559
7540571,2,560
10600853,1,561
1797483,2,562
12021090,2,563
18252021,1,564
19010456,1,565
9590189,2,566
1499467,2,567
17760498,3,568
8750762,1,569
2567262,2,570
1551486,2,571
11407727,3,572
6156952,1,573
10795741,2,574
10761967,3,575
12566549,2,576
16334621,3,577
1397718,2,578
15331543,2,579
16855217,1,580
17116184,2,581
3945267,2,582
14578242,2,583
18698254,1,584
16893912,3,585
19509199,3,586
8564218,1,587
8485958,2,588
11518692,1,589
8530070,3,590
18283634,2,591
6323144,1,592
10905494,3,593
15200747,3,594
16186408,3,595
11815505,3,596
15120440,1,597
16386091,2,598
18769484,3,599
8096268,2,600
17846994,2,601
7930669,1,602
18782870,3,603
7556961,2,604
2209318,3,605
8404029,2,606
9258270,3,607
2523782,2,608
10386239,3,609
11510141,1,610
19323833,1,611
3045545,2,612
19110536,2,613
2210119,2,614
9585427,3,615
7334500,1,616
2503223,1,617
16472050,3,618
16597817,3,619
8422766,2,620
2681500,1,621
1756915,3,622
6089093,1,623
16951059,3,624
9075604,3,625
15008828,3,626
3891468,2,627
14578288,2,628
12805564,1,629
2569661,3,630
11141871,3,631
6384267,3,632
18521688,3,633
1521722,2,634
18667076,3,635
19609442,2,636
11818404,1,637
10580437,3,638
12875702,3,639
9171256,2,640
2834824,3,641
3320598,2,642
6374594,2,643
16129011,3,644
14693705,2,645
16682312,3,646
2015976,3,647
2642432,2,648
12947308,1,649
10562303,1,650
14988297,3,651
10540353,2,652
2544997,2,653
7657800,3,654
16904545,3,655
10940648,1,656
8818515,3,657
18026927,2,658
15789278,3,659
2786821,2,660
6765121,2,661
2466379,2,662
11756005,2,663
11392441,3,664
18046409,3,665
2249069,2,666
7573053,2,667
4053952,2,668
17548846,3,669
16412093,1,670
17571924,3,671
6321085,3,672
17235525,2,673
1776811,2,674
8236167,3,675
9405910,3,676
7729302,3,677
428689,1,678
10857972,3,679
12387303,1,680
1289022,3,681
15652676,3,682
11956158,1,683
15192439,3,684
1909248,3,685
18641317,2,686
9886743,3,687
8703884,2,688
15559363,2,689
656452,1,690
10419240,2,691
18442638,3,692
2318346,1,693
6699193,2,694
19247373,3,695
9681272,3,696
16612330,3,697
15616004,3,698
16873687,1,699
14693979,3,700
9080297,2,701
19251581,3,702
15738451,3,703
6742763,2,704
1450181,3,705
11311100,3,706
16081800,2,707
15794918,3,708
11678975,2,709
15371262,1,710
17714581,3,711
16796743,2,712
18724775,1,713
3517067,3,714
12408407,3,715
205552,1,716
2065854,2,717
10388983,2,718
17274175,3,719
16249433,1,720
8606266,3,721
19104970,2,722
8621006,3,723
8388585,2,724
16567531,3,725
2537896,2,726
6403671,1,727
11679452,2,728
3518640,2,729
11272181,3,730
8822980,2,731
14693710,3,732
16731850,3,733
15467831,1,734
10426387,2,735
1706142,1,736
8094734,1,737
12207925,1,738
19056645,1,739
6188900,1,740
15983207,2,741
18809629,3,742
10480602,2,743
18495797,2,744
10391393,2,745
8875083,3,746
18955782,3,747
1834505,1,748
18413675,1,749
17143281,2,750
6283017,1,751
17327433,3,752
11739860,1,753
15161772,2,754
7561695,2,755
16443884,2,756
16367807,3,757
15034607,3,758
14673094,2,759
7840858,2,760
11580967,3,761
15201644,3,762
15448111,1,763
2949801,1,764
17435648,3,765
7977931,3,766
9382666,3,767
908468,1,768
10359389,3,769
8202267,2,770
18258623,3,771
11978632,2,772
16306354,2,773
759253,1,774
3813637,2,775
11812750,3,776
9625684,3,777
9529658,2,778
16618486,3,779
1913176,1,780
1285852,2,781
8602469,2,782
12147143,2,783
3014039,2,784
19479186,3,785
9364365,2,786
19119414,2,787
17320348,2,788
14691046,1,789
18008060,3,790
8554246,2,791
3378684,3,792
14563026,3,793
1704297,2,794
15085917,3,795
16574667,2,796
15601361,2,797
2071180,3,798
18628974,1,799
17456844,2,800
15662000,3,801
1580240,3,802
1466604,2,803
15111529,2,804
10333956,3,805
8647955,2,806
18494813,3,807
9097743,2,808
9802745,3,809
1603350,2,810
17461097,2,811
19909549,3,812
11160133,2,813
18505403,3,814
12954480,3,815
7556981,2,816
16787126,3,817
6374589,2,818
12535753,3,819
3316279,1,820
10449200,1,821
6458088,1,822
7958496,3,823
17823503,2,824
15047612,2,825
18268045,2,826
9521193,2,827
10096781,3,828
